Txn Date,Sender Bank ID,Receiver Bank ID,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance,Bank
07-04-2022,1002,2003,07-04-2022,ATM Withdrawal,1234567896,1000,0,14000,HDFC
08-04-2022,2001,1003,08-04-2022,Salary Transfer,1234567897,0,15000,29000,SBI
09-04-2022,1003,2002,09-04-2022,Insurance Premium Payment,1234567898,3000,0,26000,ICICI
10-04-2022,2002,1001,10-04-2022,Credit Card Payment,1234567899,0,1000,27000,ICICI
11-04-2022,1001,2001,11-04-2022,Rent Payment,1234567900,6000,0,21000,HDFC
12-04-2022,1002,2003,12-04-2022,Online Shopping,1234567901,2000,0,19000,SBI
13-04-2022,1003,2002,13-04-2022,Car Loan EMI,1234567902,5000,0,14000,SBI
14-04-2022,2001,1001,14-04-2022,Online Shopping,1234567903,3000,0,11000,HDFC
15-04-2022,2002,1003,15-04-2022,Bill Payment,1234567904,2000,0,9000,SBI
16-04-2022,2003,1002,16-04-2022,Rent Payment,1234567905,4000,0,5000,SBI
17-04-2022,1001,2001,17-04-2022,Credit Card Payment,1234567906,0,5000,10000,HDFC
18-04-2022,1002,2003,18-04-2022,Utility Bill Payment,1234567907,2000,0,8000,ICICI
19-04-2022,1003,2002,19-04-2022,Insurance Premium Payment,1234567908,3000,0,5000,ICICI
20-04-2022,2001,1001,20-04-2022,Car Loan EMI,1234567909,6000,0,-1000,SBI
21-04-2022,2002,1003,21-04-2022,Online Shopping,1234567910,1000,0,-2000,ICICI
22-04-2022,2003,1002,22-04-2022,ATM Withdrawal,1234567911,1000,0,-3000,SBI
23-04-2022,1001,2001,23-04-2022,Utility Bill Payment,1234567912,2000,0,-5000,HDFC
24-04-2022,1002,2003,24-04-2022,Credit Card Payment,1234567913,0,4000,0,ICICI
25-04-2022,1003,2002,25-04-2022,Rent Payment,1234567914,4000,0,-4000,SBI
